group 1: size = 21, anomscore = -203.538412, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
group 11: size = 166, anomscore = -223.498003, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
****** M = 12, T = 6, F1-score = 0.049393
group 11: size = 166, anomscore = -223.716633, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 1: size = 21, anomscore = -275.076535, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
****** M = 12, T = 10, F1-score = 0.049393
group 11: size = 166, anomscore = -241.379602, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 1: size = 21, anomscore = -258.556791, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
****** M = 12, T = 14, F1-score = 0.049393
group 11: size = 166, anomscore = -256.171023, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 1: size = 21, anomscore = -265.639700, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
****** M = 12, T = 18, F1-score = 0.049393
group 11: size = 166, anomscore = -194.269970, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 1: size = 21, anomscore = -270.295276, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
****** M = 12, T = 22, F1-score = 0.049393
group 11: size = 166, anomscore = -201.872891, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 1: size = 21, anomscore = -270.299683, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.142857, auc = 0.001504, f1 = 0.035294
****** M = 12, T = 26, F1-score = 0.049393
group 11: size = 166, anomscore = -221.005617, anomlbl = rec.sport.hockey, recall = 0.067114, precision = 0.060241, auc = 0.002115, f1 = 0.063492
group 7: size = 91, anomscore = -276.410607, anomlbl = talk.politics.mideast, recall = 0.009174, precision = 0.010989, auc = 0.000050, f1 = 0.010000
****** M = 12, T = 30, F1-score = 0.036746
group 6: size = 140, anomscore = -312.390698, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 116, anomscore = -314.348545, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
****** M = 14, T = 6, F1-score = 0.022222
group 0: size = 116, anomscore = -493.293354, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
group 7: size = 122, anomscore = -513.730816, anomlbl = rec.sport.hockey, recall = 0.026846, precision = 0.032787, auc = 0.000448, f1 = 0.029520
****** M = 14, T = 10, F1-score = 0.036982
group 0: size = 116, anomscore = -358.357058, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
group 6: size = 140, anomscore = -376.166455, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 14, T = 14, F1-score = 0.022222
group 7: size = 122, anomscore = -398.557268, anomlbl = rec.sport.hockey, recall = 0.026846, precision = 0.032787, auc = 0.000448, f1 = 0.029520
group 0: size = 116, anomscore = -406.159640, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
****** M = 14, T = 18, F1-score = 0.036982
group 6: size = 140, anomscore = -300.211064, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 116, anomscore = -451.322720, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
****** M = 14, T = 22, F1-score = 0.022222
group 6: size = 140, anomscore = -306.715133, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 116, anomscore = -310.022936, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
****** M = 14, T = 26, F1-score = 0.022222
group 6: size = 140, anomscore = -301.227195, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 116, anomscore = -311.119268, anomlbl = talk.politics.mideast, recall = 0.045872, precision = 0.043103, auc = 0.001003, f1 = 0.044444
****** M = 14, T = 30, F1-score = 0.022222
group 4: size = 66, anomscore = -547.884846, anomlbl = talk.politics.mideast, recall = 0.009174, precision = 0.015152, auc = 0.000070, f1 = 0.011429
