nu = 0.000010, gamma = 0.000100, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000146, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000212, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000309, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000450, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000655, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.000954, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.001389, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.002024, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.002947, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.004292, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.006251, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.009103, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.013257, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.019307, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.028118, recall = 0.089147, precision = 0.106977, auc = 0.013542, f1 = 0.097252
nu = 0.000010, gamma = 0.040949, recall = 0.093023, precision = 0.111628, auc = 0.015177, f1 = 0.101480
nu = 0.000010, gamma = 0.059636, recall = 0.093023, precision = 0.111628, auc = 0.015180, f1 = 0.101480
nu = 0.000010, gamma = 0.086851, recall = 0.093023, precision = 0.111628, auc = 0.015147, f1 = 0.101480
nu = 0.000010, gamma = 0.126486, recall = 0.093023, precision = 0.111628, auc = 0.015147, f1 = 0.101480
nu = 0.000010, gamma = 0.184207, recall = 0.081395, precision = 0.097674, auc = 0.013623, f1 = 0.088795
nu = 0.000010, gamma = 0.268270, recall = 0.081395, precision = 0.097674, auc = 0.013598, f1 = 0.088795
nu = 0.000010, gamma = 0.390694, recall = 0.081395, precision = 0.097674, auc = 0.013627, f1 = 0.088795
nu = 0.000010, gamma = 0.568987, recall = 0.085271, precision = 0.102326, auc = 0.013984, f1 = 0.093023
nu = 0.000010, gamma = 0.828643, recall = 0.089147, precision = 0.106977, auc = 0.014787, f1 = 0.097252
nu = 0.000010, gamma = 1.206793, recall = 0.089147, precision = 0.106977, auc = 0.014772, f1 = 0.097252
nu = 0.000010, gamma = 1.757511, recall = 0.085271, precision = 0.102326, auc = 0.014158, f1 = 0.093023
nu = 0.000010, gamma = 2.559548, recall = 0.085271, precision = 0.102326, auc = 0.014543, f1 = 0.093023
nu = 0.000010, gamma = 3.727594, recall = 0.085271, precision = 0.102326, auc = 0.014559, f1 = 0.093023
nu = 0.000010, gamma = 5.428675, recall = 0.089147, precision = 0.106977, auc = 0.015036, f1 = 0.097252
nu = 0.000010, gamma = 7.906043, recall = 0.093023, precision = 0.111628, auc = 0.015958, f1 = 0.101480
nu = 0.000010, gamma = 11.513954, recall = 0.093023, precision = 0.111628, auc = 0.015721, f1 = 0.101480
nu = 0.000010, gamma = 16.768329, recall = 0.093023, precision = 0.111628, auc = 0.015811, f1 = 0.101480
nu = 0.000010, gamma = 24.420531, recall = 0.093023, precision = 0.111628, auc = 0.016286, f1 = 0.101480
nu = 0.000010, gamma = 35.564803, recall = 0.093023, precision = 0.111628, auc = 0.016502, f1 = 0.101480
nu = 0.000010, gamma = 51.794747, recall = 0.093023, precision = 0.111628, auc = 0.017585, f1 = 0.101480
nu = 0.000010, gamma = 75.431201, recall = 0.093023, precision = 0.111628, auc = 0.018819, f1 = 0.101480
nu = 0.000010, gamma = 109.854114, recall = 0.093023, precision = 0.111628, auc = 0.019663, f1 = 0.101480
nu = 0.000010, gamma = 159.985872, recall = 0.108527, precision = 0.130233, auc = 0.021556, f1 = 0.118393
nu = 0.000010, gamma = 232.995181, recall = 0.116279, precision = 0.139535, auc = 0.022572, f1 = 0.126850
nu = 0.000010, gamma = 339.322177, recall = 0.112403, precision = 0.134884, auc = 0.021928, f1 = 0.122622
nu = 0.000010, gamma = 494.171336, recall = 0.108527, precision = 0.130233, auc = 0.020625, f1 = 0.118393
nu = 0.000010, gamma = 719.685673, recall = 0.100775, precision = 0.120930, auc = 0.015770, f1 = 0.109937
nu = 0.000010, gamma = 1048.113134, recall = 0.003876, precision = 0.004651, auc = 0.000032, f1 = 0.004228
nu = 0.000010, gamma = 1526.417967, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 2222.996483, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 3237.457543, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 4714.866363, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 6866.488450, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 0.000100, recall = 0.089147, precision = 0.106977, auc = 0.014352, f1 = 0.097252
nu = 0.050010, gamma = 0.000146, recall = 0.089147, precision = 0.106977, auc = 0.014815, f1 = 0.097252
nu = 0.050010, gamma = 0.000212, recall = 0.089147, precision = 0.106977, auc = 0.015126, f1 = 0.097252
nu = 0.050010, gamma = 0.000309, recall = 0.089147, precision = 0.106977, auc = 0.015299, f1 = 0.097252
nu = 0.050010, gamma = 0.000450, recall = 0.089147, precision = 0.106977, auc = 0.015497, f1 = 0.097252
nu = 0.050010, gamma = 0.000655, recall = 0.089147, precision = 0.106977, auc = 0.015487, f1 = 0.097252
nu = 0.050010, gamma = 0.000954, recall = 0.089147, precision = 0.106977, auc = 0.015511, f1 = 0.097252
nu = 0.050010, gamma = 0.001389, recall = 0.089147, precision = 0.106977, auc = 0.015517, f1 = 0.097252
nu = 0.050010, gamma = 0.002024, recall = 0.089147, precision = 0.106977, auc = 0.015540, f1 = 0.097252
nu = 0.050010, gamma = 0.002947, recall = 0.089147, precision = 0.106977, auc = 0.015576, f1 = 0.097252
nu = 0.050010, gamma = 0.004292, recall = 0.089147, precision = 0.106977, auc = 0.015569, f1 = 0.097252
nu = 0.050010, gamma = 0.006251, recall = 0.089147, precision = 0.106977, auc = 0.015569, f1 = 0.097252
nu = 0.050010, gamma = 0.009103, recall = 0.089147, precision = 0.106977, auc = 0.015569, f1 = 0.097252
nu = 0.050010, gamma = 0.013257, recall = 0.089147, precision = 0.106977, auc = 0.015572, f1 = 0.097252
nu = 0.050010, gamma = 0.019307, recall = 0.089147, precision = 0.106977, auc = 0.015567, f1 = 0.097252
