group 6: size = 67, anomscore = -178.088679, anomlbl = coffee, recall = 0.541176, precision = 0.686567, auc = 0.254504, f1 = 0.605263
group 8: size = 56, anomscore = -198.525561, anomlbl = ship, recall = 0.160714, precision = 0.160714, auc = 0.015408, f1 = 0.160714
****** M = 12, T = 6, F1-score = 0.382989
group 6: size = 67, anomscore = -372.098121, anomlbl = coffee, recall = 0.541176, precision = 0.686567, auc = 0.254504, f1 = 0.605263
group 5: size = 56, anomscore = -383.045218, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
****** M = 12, T = 10, F1-score = 0.418703
group 5: size = 56, anomscore = -247.749851, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
group 11: size = 90, anomscore = -509.987885, anomlbl = coffee, recall = 0.129412, precision = 0.122222, auc = 0.008249, f1 = 0.125714
****** M = 12, T = 14, F1-score = 0.178929
group 5: size = 56, anomscore = -244.451448, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
group 8: size = 56, anomscore = -316.265807, anomlbl = ship, recall = 0.160714, precision = 0.160714, auc = 0.015408, f1 = 0.160714
****** M = 12, T = 18, F1-score = 0.196429
group 11: size = 90, anomscore = -264.508383, anomlbl = coffee, recall = 0.129412, precision = 0.122222, auc = 0.008249, f1 = 0.125714
group 5: size = 56, anomscore = -268.070584, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
****** M = 12, T = 22, F1-score = 0.178929
group 11: size = 90, anomscore = -246.476004, anomlbl = coffee, recall = 0.129412, precision = 0.122222, auc = 0.008249, f1 = 0.125714
group 5: size = 56, anomscore = -285.001600, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
****** M = 12, T = 26, F1-score = 0.178929
group 5: size = 56, anomscore = -335.412120, anomlbl = ship, recall = 0.232143, precision = 0.232143, auc = 0.030487, f1 = 0.232143
