nu = 0.000010, gamma = 0.100000, recall = 0.212766, precision = 0.205479, auc = 0.032762, f1 = 0.209059
nu = 0.000010, gamma = 0.148735, recall = 0.212766, precision = 0.205479, auc = 0.032762, f1 = 0.209059
nu = 0.000010, gamma = 0.221222, recall = 0.212766, precision = 0.205479, auc = 0.032762, f1 = 0.209059
nu = 0.000010, gamma = 0.329034, recall = 0.276596, precision = 0.267123, auc = 0.082486, f1 = 0.271777
nu = 0.000010, gamma = 0.489390, recall = 0.276596, precision = 0.267123, auc = 0.082453, f1 = 0.271777
nu = 0.000010, gamma = 0.727895, recall = 0.255319, precision = 0.246575, auc = 0.074225, f1 = 0.250871
nu = 0.000010, gamma = 1.082637, recall = 0.283688, precision = 0.273973, auc = 0.086276, f1 = 0.278746
nu = 0.000010, gamma = 1.610262, recall = 0.297872, precision = 0.287671, auc = 0.095202, f1 = 0.292683
nu = 0.000010, gamma = 2.395027, recall = 0.297872, precision = 0.287671, auc = 0.096029, f1 = 0.292683
nu = 0.000010, gamma = 3.562248, recall = 0.297872, precision = 0.287671, auc = 0.096012, f1 = 0.292683
nu = 0.000010, gamma = 5.298317, recall = 0.297872, precision = 0.287671, auc = 0.096890, f1 = 0.292683
nu = 0.000010, gamma = 7.880463, recall = 0.297872, precision = 0.287671, auc = 0.104940, f1 = 0.292683
nu = 0.000010, gamma = 11.721023, recall = 0.297872, precision = 0.287671, auc = 0.106646, f1 = 0.292683
nu = 0.000010, gamma = 17.433288, recall = 0.304965, precision = 0.294521, auc = 0.112558, f1 = 0.299652
nu = 0.000010, gamma = 25.929438, recall = 0.283688, precision = 0.273973, auc = 0.099652, f1 = 0.278746
nu = 0.000010, gamma = 38.566204, recall = 0.283688, precision = 0.273973, auc = 0.095498, f1 = 0.278746
nu = 0.000010, gamma = 57.361525, recall = 0.297872, precision = 0.287671, auc = 0.105712, f1 = 0.292683
nu = 0.000010, gamma = 85.316785, recall = 0.312057, precision = 0.301370, auc = 0.113099, f1 = 0.306620
nu = 0.000010, gamma = 126.896100, recall = 0.333333, precision = 0.321918, auc = 0.124720, f1 = 0.327526
nu = 0.000010, gamma = 188.739182, recall = 0.319149, precision = 0.308219, auc = 0.112632, f1 = 0.313589
nu = 0.000010, gamma = 280.721620, recall = 0.319149, precision = 0.308219, auc = 0.108543, f1 = 0.313589
nu = 0.000010, gamma = 417.531894, recall = 0.297872, precision = 0.287671, auc = 0.099861, f1 = 0.292683
nu = 0.000010, gamma = 621.016942, recall = 0.290780, precision = 0.280822, auc = 0.094800, f1 = 0.285714
nu = 0.000010, gamma = 923.670857, recall = 0.340426, precision = 0.328767, auc = 0.063853, f1 = 0.334495
nu = 0.000010, gamma = 1373.823796, recall = 0.007092, precision = 0.006849, auc = 0.000030, f1 = 0.006969
nu = 0.000010, gamma = 2043.359718, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 3039.195382, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 4520.353656, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 6723.357536, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 0.100000, recall = 0.276596, precision = 0.267123, auc = 0.077015, f1 = 0.271777
nu = 0.050010, gamma = 0.148735, recall = 0.276596, precision = 0.267123, auc = 0.077028, f1 = 0.271777
nu = 0.050010, gamma = 0.221222, recall = 0.276596, precision = 0.267123, auc = 0.077043, f1 = 0.271777
nu = 0.050010, gamma = 0.329034, recall = 0.276596, precision = 0.267123, auc = 0.077064, f1 = 0.271777
nu = 0.050010, gamma = 0.489390, recall = 0.276596, precision = 0.267123, auc = 0.077123, f1 = 0.271777
nu = 0.050010, gamma = 0.727895, recall = 0.276596, precision = 0.267123, auc = 0.077080, f1 = 0.271777
nu = 0.050010, gamma = 1.082637, recall = 0.276596, precision = 0.267123, auc = 0.077166, f1 = 0.271777
nu = 0.050010, gamma = 1.610262, recall = 0.276596, precision = 0.267123, auc = 0.076934, f1 = 0.271777
