group 1: size = 600, anomscore = -202.006500, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 430, anomscore = -266.603611, anomlbl = 10, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
****** M = 6, T = 6, F1-score = 0.065217
group 1: size = 600, anomscore = -117.443936, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 0: size = 430, anomscore = -138.347353, anomlbl = 10, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
****** M = 6, T = 8, F1-score = 0.065217
group 1: size = 600, anomscore = -105.716006, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 4: size = 430, anomscore = -140.026103, anomlbl = 11, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
****** M = 6, T = 10, F1-score = 0.065217
group 1: size = 600, anomscore = -107.974797, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 4: size = 430, anomscore = -140.949025, anomlbl = 11, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
****** M = 6, T = 12, F1-score = 0.065217
group 0: size = 430, anomscore = -129.136183, anomlbl = 10, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
group 5: size = 200, anomscore = -139.049961, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 6, T = 14, F1-score = 0.065217
group 3: size = 400, anomscore = -361.659753, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 7: size = 200, anomscore = -392.129050, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 8, T = 6, F1-score = 0.000000
group 3: size = 400, anomscore = -331.133188, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 7: size = 200, anomscore = -412.971648, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 8, T = 8, F1-score = 0.000000
group 3: size = 400, anomscore = -195.203445, anomlbl = 11, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 1: size = 430, anomscore = -239.656702, anomlbl = 10, recall = 1.000000, precision = 0.069767, auc = 0.035724, f1 = 0.130435
****** M = 8, T = 10, F1-score = 0.065217
