nu = 0.000010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 73.162024, recall = 0.033333, precision = 0.031250, auc = 0.000583, f1 = 0.032258
nu = 0.000010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.007670, f1 = 0.112903
nu = 0.000010, gamma = 155.903959, recall = 0.150000, precision = 0.140625, auc = 0.017646, f1 = 0.145161
nu = 0.000010, gamma = 227.584593, recall = 0.150000, precision = 0.140625, auc = 0.021004, f1 = 0.145161
nu = 0.000010, gamma = 332.222140, recall = 0.166667, precision = 0.156250, auc = 0.033114, f1 = 0.161290
nu = 0.000010, gamma = 484.969343, recall = 0.200000, precision = 0.187500, auc = 0.043780, f1 = 0.193548
nu = 0.000010, gamma = 707.945784, recall = 0.016667, precision = 0.015625, auc = 0.000000, f1 = 0.016129
nu = 0.000010, gamma = 1033.441064, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.000010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 73.162024, recall = 0.083333, precision = 0.078125, auc = 0.003524, f1 = 0.080645
nu = 0.050010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010712, f1 = 0.112903
nu = 0.050010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
